#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
41,"BUTTERFLY EFFECT","Travis Scott",83,141,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,03:10,76,63,5,0,19,0,10,-6,B Major,4,2022-05-11,2cYqizR4lgvp4Qu6IQ3qGN,"Cactus Jack / Epic",1B,https://p.scdn.co/mp3-preview/68cba40a7199c972c7a2ad0df063c4d1f5e3dc73?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
42,"Magnolia","Playboi Carti",82,163,"atl hip hop, plugg, pluggnb, rage rap, rap","Hip Hop","Playboi Carti",2017-04-14,03:01,79,58,1,0,44,20,30,-7,B Minor,4,2022-05-11,1e1JKLEDKP7hEQzJfNAgPl,"AWGE Label",10A,,https://i.scdn.co/image/ab67616d00004851e31a279d267f3b3d8912e6f1
43,"More Than You Know","Axwell /\ Ingrosso",82,123,"edm, pop dance","Electronic","More Than You Know",2017-07-28,03:23,65,74,3,0,57,0,30,-5,F Minor,4,2022-05-11,6h5PAsRni4IRlxWr6uDPTP,"EMI",4A,,https://i.scdn.co/image/ab67616d00004851fba6de0b38b0168d480b1a27
44,"Young Dumb & Broke","Khalid",82,137,"pop, pop r&b","Pop, R&B","American Teen",2017-04-27,03:22,80,54,20,0,39,0,10,-6,C♯/D♭ Major,4,2022-05-11,5Z3GHaZ6ec9bsiI5BenrbY,"Right Hand Music Group, LLC/RCA Records",3B,https://p.scdn.co/mp3-preview/05e9e3f61b30cf532a171bf40db63c086f9b6d5b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851988ede5e1276e758b5f9e577
45,"Human","Rag'n'Bone Man",82,75,"neo soul","R&B","Human (Deluxe)",2017-02-10,03:20,60,71,39,0,55,30,10,-4,A Major,4,2022-05-11,58zsLZPvfflaiIbNWoA22O,"Best Laid Plans/Columbia",11B,https://p.scdn.co/mp3-preview/8c1cad46231be436ff9e13a71f52df2135398850?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485190a788beadaad34ff684d3ec
46,"Castle on the Hill","Ed Sheeran",82,135,"pop, singer-songwriter pop, uk pop","Pop","÷ (Deluxe)",2017-03-03,04:21,46,83,2,0,47,10,10,-5,D Major,4,2022-05-11,6PCUP3dWmTjcTtXY02oFdT,"Atlantic Records UK",10B,https://p.scdn.co/mp3-preview/f3cb6f2e07da189bbace23509fd9c03d63949292?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96
47,"I Fall Apart","Post Malone",82,144,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","Stoney (Deluxe)",2016-12-09,03:43,56,54,7,0,29,0,20,-5,G#/A♭ Minor,4,2022-05-11,75ZvA4QfFiZvzhj2xkaWAh,"Universal Records",1A,,https://i.scdn.co/image/ab67616d0000485155404f712deb84d0650a4b41
48,"DNA.","Kendrick Lamar",81,140,"conscious hip hop, hip hop, rap, west coast rap","Hip Hop","DAMN.",2017-04-14,03:05,64,52,0,0,42,30,0,-7,C♯/D♭ Major,4,2022-05-11,6HZILIRieu8S0iqY8kIKhj,"Aftermath",3B,,https://i.scdn.co/image/ab67616d000048518b52c6b9bc4e43d873869699
49,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie,Kodak Black",81,129,"melodic rap, rap, trap, florida drill, florida rap, miami hip hop, trap latino","Hip Hop, Latin","The Bigger Artist",2017-09-29,03:29,84,81,50,0,81,0,10,-5,F Minor,4,2022-05-11,1f5cbQtDrykjarZVrShaDI,"Highbridge The Label",4A,https://p.scdn.co/mp3-preview/f770a1a0b3dfb5bc652f89848e45ab9d09f7dc69?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cdba7ee22968991250725ce1
50,"Without You (feat. Sandro Cavazza)","Avicii,Sandro Cavazza",81,134,"dance pop, edm, pop, pop dance, swedish pop","Pop, Electronic","AVĪCI (01)",2017-08-10,03:01,66,86,0,0,30,0,0,-5,D Major,4,2022-05-11,6Pgkp4qUoTmJIPn7ReaGxL,"Universal Music AB",10B,,https://i.scdn.co/image/ab67616d00004851a26cc58b4d64c2ece3376389
51,"Him & I (with Halsey)","G-Eazy,Halsey",81,88,"indie pop rap, oakland hip hop, pop rap, rap, electropop, etherpop, indie poptimism, pop","Pop, Hip Hop","The Beautiful & Damned",2017-12-15,04:28,59,73,5,0,19,0,30,-6,D Major,4,2022-05-11,5k38wzpLb15YgncyWdTZE4,"BPG/RVG/RCA Records",10B,https://p.scdn.co/mp3-preview/f3b074fff3b73dfec619cf9a3ff72be8d6de2cb6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851046527a9c176f7c2916f3530
52,"Glorious (feat. Skylar Grey)","Macklemore,Skylar Grey",80,140,"pop rap, seattle hip hop, piano rock, viral pop","Rock, Hip Hop, Pop","GEMINI",2017-09-22,03:40,73,79,3,0,36,0,10,-5,C Minor,4,2022-05-11,0CokSRCu5hZgPxcZBaEzVE,"Bendo LLC",5A,https://p.scdn.co/mp3-preview/d5955286b6e230880c24b0b8c8eab30162eaeca7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512e94b668c60b06deb1c3a05c
53,"Love Galore (feat. Travis Scott)","SZA,Travis Scott",80,135,"pop, r&b, rap, hip hop, slap house","Hip Hop, Pop, R&B, Electronic","Ctrl",2017-06-09,04:35,80,59,11,0,41,0,10,-6,C Major,4,2022-05-11,0q75NwOoFiARAVp4EXU4Bs,"Top Dawg Entertainment/RCA Records",8B,https://p.scdn.co/mp3-preview/e3f2a5f8e8910d69754b3d80abdeccac3df9077b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c79d5ec52a6d0302f3add25
54,"Symphony (feat. Zara Larsson)","Clean Bandit,Zara Larsson",80,123,"pop, uk dance, uk funky, scandipop, swedish electropop, swedish pop","Pop, Electronic","What Is Love? (Deluxe Edition)",2018-11-30,03:32,72,61,24,0,45,0,10,-5,C Minor,4,2022-05-11,72gv4zhNvRVdQA0eOenCal,"Atlantic Records UK",5A,https://p.scdn.co/mp3-preview/582525d17cae952887337a1fcdf0e4763bf9ad1a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485137fb0680110fbb107740de5d
55,"Scared to Be Lonely","Martin Garrix,Dua Lipa",80,138,"dutch edm, edm, pop, pop dance, progressive house, dance pop, uk pop","Pop, Electronic","Scared to Be Lonely",2017-01-27,03:40,58,54,9,0,20,0,20,-8,C♯/D♭ Minor,4,2022-05-11,3ebXMykcMXOcLeJ9xZ17XH,"Epic Amsterdam",12A,https://p.scdn.co/mp3-preview/49e6a27ef1e85764d5758ae6238f003601a53d7d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485164f8a309aa3c0a66a31fc374
56,"Galway Girl","Ed Sheeran",81,100,"pop, singer-songwriter pop, uk pop","Pop","÷ (Deluxe)",2017-03-03,02:50,62,88,7,0,78,10,30,-3,A Major,4,2022-05-11,0afhq8XCExXpqazXczTSve,"Atlantic Records UK",11B,https://p.scdn.co/mp3-preview/9b7635464dc2caea3837fcc5680d0f5f5d39ab03?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96
57,"Bank Account","21 Savage",79,75,"atl hip hop, hip hop, rap","Hip Hop","Issa Album",2017-07-06,03:40,88,35,2,0,38,30,0,-8,G#/A♭ Minor,4,2022-05-11,5eqK0tbzUPo2SoeZsov04s,"Slaughter Gang, LLC/Epic Records",1A,https://p.scdn.co/mp3-preview/35e50885ea3c7a1fc34adc245d3600d9f2156bb6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512719343298d0e4f1790e14cd
58,"Slow Hands","Niall Horan",79,86,"pop","Pop","Flicker (Deluxe)",2017-10-20,03:08,74,43,1,0,85,0,0,-7,C Major,4,2022-05-11,2cOUlop2ZakjOKe4WinesN,"Capitol Records (US1A)",8B,,https://i.scdn.co/image/ab67616d000048515bac234d5511248b248caf36
59,"Location","Khalid",79,80,"pop, pop r&b","Pop, R&B","American Teen",2017-04-27,03:39,74,45,33,0,33,40,0,-11,C♯/D♭ Minor,4,2022-05-11,152lZdxL1OR0ZMW6KquMif,"Right Hand Music Group, LLC/RCA Records",12A,https://p.scdn.co/mp3-preview/ed25b8c413329ab145c72c8bfce8b8558498299c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851988ede5e1276e758b5f9e577
60,"Save That Shit","Lil Peep",79,106,"cloud rap, emo rap, lgbtq+ hip hop","Hip Hop","Come Over When You're Sober, Pt. 1",2017-08-15,03:51,53,58,3,0,14,0,40,-9,D Major,4,2022-05-11,64PgpLHuQK3UJ5qZ875Vei,"Lil Peep",10B,https://p.scdn.co/mp3-preview/77f5dd5972549e559e4f7a5d3ca368de746d47c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485122278aa84691381f3015d534
61,"Issues","Julia Michaels",79,114,"pop","Pop","Nervous System",2017-07-28,02:56,73,42,40,0,46,0,0,-7,G#/A♭ Major,4,2022-05-11,7vu0JkJh0ldukEYbTVcqd0,"J/Republic",4B,,https://i.scdn.co/image/ab67616d00004851a5acfd33d055ca075b829cc1
62,"Happier","Ed Sheeran",80,90,"pop, singer-songwriter pop, uk pop","Pop","÷ (Deluxe)",2017-03-03,03:27,52,39,54,0,24,0,10,-7,C Major,4,2022-05-11,2RttW7RAu5nOAfq6YFvApB,"Atlantic Records UK",8B,https://p.scdn.co/mp3-preview/f4944de04b857647b920811fae9a1abfb27d7f8b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96
63,"Stay","Zedd,Alessia Cara",79,102,"complextro, edm, german techno, pop, pop dance, canadian contemporary r&b, canadian pop","R&B, Pop, Electronic","Stay",2017-02-23,03:30,69,62,25,0,54,0,10,-5,F Minor,4,2022-05-11,6uBhi9gBXWjanegOb2Phh0,"UMGRI Interscope",4A,,https://i.scdn.co/image/ab67616d00004851b993cba8ff7d0a8e9ee18d46
64,"What About Us","P!nk",79,114,"dance pop, pop","Pop","Beautiful Trauma",2017-10-13,04:29,49,59,3,0,19,0,0,-6,C♯/D♭ Major,4,2022-05-11,0Qh38w01QRXK6KHIv0e3hb,"RCA Records Label",3B,https://p.scdn.co/mp3-preview/2af485dcb9d7635367136b17ee74b88d8e895229?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485100164c96548a622d34b39828
65,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld,Alesso,Florida Georgia Line,WATT",78,103,"pop, dance pop, edm, pop dance, progressive electro house, contemporary country, country, country pop, country road, modern country rock, modern alternative rock","Country, Pop, Electronic, Rock","Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,02:54,66,71,3,0,74,0,0,-4,G#/A♭ Major,4,2022-05-11,5Gu0PDLN4YJeW75PpBSg9p,"Universal Records",4B,,https://i.scdn.co/image/ab67616d00004851523eb48df1fa22b6d450833e
66,"1-800-273-8255","Logic,Alessia Cara,Khalid",78,100,"conscious hip hop, hip hop, pop rap, rap, canadian contemporary r&b, canadian pop, pop, pop r&b","R&B, Pop, Hip Hop","Everybody",2017-05-05,04:10,62,57,57,0,36,0,10,-8,F Minor,4,2022-05-11,5tz69p7tJuGPeMGwNTxYuV,"Def Jam Recordings",4A,,https://i.scdn.co/image/ab67616d00004851cfdf40cf325b609a52457805
67,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris,Pharrell Williams,Katy Perry,Big Sean,Funk Wav",78,101,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, detroit hip hop, hip hop, pop rap, r&b, rap, trap, funktronica","Pop, Hip Hop, Electronic, R&B","Funk Wav Bounces Vol.1",2017-06-30,03:43,89,75,6,0,87,0,0,-3,B Minor,4,2022-05-11,5bcTCxgc7xVfSaMV3RuVke,"Columbia",10A,https://p.scdn.co/mp3-preview/34a33c4a5bd5f815d329db8e1daf712c9dd9ffb1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514d3fa5ce7ba599f4fd7803ef
68,"Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone,J. Davi$,J Spooks",78,108,"san diego rap, viral trap, ","Hip Hop","Chill Bill (feat. J. Davi$ & Spooks)",2016-06-17,02:57,89,43,3,0,23,10,0,-10,F#/G♭ Major,4,2022-05-11,5uDASfU19gDxSjW8cnCaBp,"RCA Records Label",2B,https://p.scdn.co/mp3-preview/2449fed0346a67a3590a5c9595ef7fa5b9210137?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516f3e9696889a2425338e0836
69,"Dusk Till Dawn (feat. Sia) - Radio Edit","ZAYN,Sia",77,180,"pop, uk pop, australian dance, australian pop","Electronic, Pop","Dusk Till Dawn (feat. Sia) [Radio Edit]",2017-09-07,03:59,26,44,10,0,10,0,10,-7,B Minor,4,2022-05-11,1j4kHkkpqZRBwE0A4CN4Yv,"RCA Records Label",10A,https://p.scdn.co/mp3-preview/7fa8376aeb69dfe202ea1ad7fadd717bf895d950?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485123852b7ef0ecfe29d38d97ee
70,"Sorry Not Sorry","Demi Lovato",77,144,"pop, post-teen pop","Pop","Tell Me You Love Me",2017-09-29,03:23,71,64,2,0,89,20,20,-7,B Minor,4,2022-05-11,0yvPEnB032fojLfVluFjUv,"Island Records",10A,,https://i.scdn.co/image/ab67616d00004851f70868aec6eebfea4cd16c70
71,"Paris","The Chainsmokers",77,100,"pop","Pop","Memories...Do Not Open",2017-04-07,03:41,65,66,2,0,22,0,0,-6,D Major,4,2022-05-11,72jbDTw1piOOj770jWNeaG,"Disruptor Records/Columbia",10B,https://p.scdn.co/mp3-preview/2b043ab3ea679d2e91c5bd827cbf24ef7a2b1b44?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510c13d3d5a503c84fcc60ae94
72,"Fetish (feat. Gucci Mane)","Selena Gomez,Gucci Mane",77,123,"pop, post-teen pop, atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap","Hip Hop, Pop","Fetish (feat. Gucci Mane)",2017-07-13,03:06,71,62,2,0,27,0,0,-4,D Major,4,2022-05-11,4lnAN2S1fcI0SjxEbksZVr,"Selena Gomez PS",10B,,https://i.scdn.co/image/ab67616d000048516a958ff9ae0c40b9771c19c4
73,"Black Beatles","Rae Sremmurd,Gucci Mane",77,146,"melodic rap, mississippi hip hop, pop rap, rap, trap, atl hip hop, dirty south rap, hip hop, southern hip hop","Hip Hop","SremmLife 2 (Deluxe)",2016-08-12,04:51,79,63,14,0,36,0,10,-6,C Major,4,2022-05-11,6fujklziTHa8uoM5OQSfIo,"Mike WiLL Made-It",8B,,https://i.scdn.co/image/ab67616d00004851881fb62d913fe712fc2e1c95
74,"Malibu","Miley Cyrus",77,140,"pop","Pop","Younger Now",2017-09-29,03:51,57,78,8,0,34,0,0,-6,G#/A♭ Major,4,2022-05-11,1UZOjK1BwmwWU14Erba9CZ,"RCA Records Label",4B,https://p.scdn.co/mp3-preview/adb88a1bfb0a510248e6e09188e4c36cb8667a03?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519012e092ad8ed4731ea11134
75,"Losin Control","Russ",77,97,"hawaiian hip hop","Hip Hop","There's Really A Wolf",2017-05-05,03:57,76,25,52,0,21,10,10,-7,F#/G♭ Major,4,2022-05-11,4cxMGhkinTocPSVVKWIw0d,"Columbia",2B,https://p.scdn.co/mp3-preview/3c6ca6c58b9721bd38cdbda47704065f658871e0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cb045e684adce8d49ada4045
76,"Bad and Boujee (feat. Lil Uzi Vert)","Migos,Lil Uzi Vert",76,127,"atl hip hop, hip hop, pop rap, rap, trap, melodic rap, philly rap, rage rap","Hip Hop","Culture",2017-01-27,05:43,93,67,6,0,17,20,10,-5,B Major,4,2022-05-11,0M9ydKzuF3oZTfYYPfaGX1,"Quality Control Music",1B,,https://i.scdn.co/image/ab67616d000048516275aeac316378b0dd4f31fd
77,"Criminal","NATTI NATASHA,Ozuna",76,80,"latin pop, rap latina, reggaeton, urbano latino, puerto rican pop, trap latino","Pop, Latin","Criminal",2017-09-01,03:52,81,81,3,0,84,0,20,-3,D Minor,4,2022-05-11,6Za3190Sbw39BBC77WSS1C,"Pina Records",7A,https://p.scdn.co/mp3-preview/d0d75a879a7393578c83ebdd1d0930b30d841c64?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515f3f4af0d3e662247a7d8cff
78,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo,Nicki Minaj,Ty Dolla $ign",76,98,"dance pop, pop, hip pop, queens hip hop, rap, hip hop, pop rap, r&b, southern hip hop, trap, trap soul","Pop, Hip Hop, R&B","Swalla (feat. Nicki Minaj & Ty Dolla $ign)",2017-02-23,03:36,70,82,8,0,78,10,10,-4,C♯/D♭ Major,4,2022-05-11,6kex4EBAj0WHXDKZMEJaaF,"Beluga Heights/Warner Records",3B,https://p.scdn.co/mp3-preview/78219b6d9b0b7ae621da0d11090995a301e24f3c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519d6522bee68370fa5592301d
79,"Plain Jane","A$AP Ferg",76,170,"hip hop, pop rap, rap, southern hip hop, trap","Hip Hop","Still Striving",2017-08-18,02:53,80,84,7,0,52,20,0,-5,B Major,4,2022-05-11,4dVpf9jZjcORqGTLUaeYj9,"RCA Records Label",1B,https://p.scdn.co/mp3-preview/34934b16056fc0f696dfccfd48ec62b1202d5b18?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d79cfa3155b50beb5dbeeb9a
80,"Scars To Your Beautiful","Alessia Cara",76,194,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","Know-It-All (Deluxe)",2016-03-11,03:50,32,74,3,0,45,20,10,-6,C Major,4,2022-05-11,42ydLwx4i5V49RXHOozJZq,"EP Entertainment, LLC / Def Jam",8B,,https://i.scdn.co/image/ab67616d000048510a48794d471447a030998815
81,"Mi Gente","J Balvin,Willy William",76,105,"reggaeton, reggaeton colombiano, trap latino, urbano latino, pop dance","Electronic, Latin","Vibras",2018-05-25,03:05,55,70,2,0,29,0,10,-5,B Minor,4,2022-05-11,7COfe3P7KgfwDwIRB8LIDw,"UMLE - Latino",10A,,https://i.scdn.co/image/ab67616d00004851dda2b86297d3bfb519f8b785
82,"Swang","Rae Sremmurd",77,140,"melodic rap, mississippi hip hop, pop rap, rap, trap","Hip Hop","SremmLife 2 (Deluxe)",2016-08-12,03:28,68,31,20,0,17,0,10,-9,G#/A♭ Major,4,2022-05-11,6mapJIPnQ23RTAevUoE0DL,"Mike WiLL Made-It",4B,,https://i.scdn.co/image/ab67616d00004851881fb62d913fe712fc2e1c95
83,"Fake Love","Drake",76,134,"canadian hip hop, canadian pop, hip hop, pop rap, rap","Hip Hop, Pop","More Life",2017-03-18,03:30,93,48,11,0,61,20,10,-9,A Minor,4,2022-05-11,343YBumqHu19cGoGARUTsd,"Cash Money Records/Young Money Ent./Universal Rec.",8A,,https://i.scdn.co/image/ab67616d000048514f0fd9dad63977146e685700
84,"Green Light","Lorde",75,129,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Melodrama",2017-06-16,03:54,59,72,2,0,25,10,0,-8,D Major,4,2022-05-11,6ie2Bw3xLj2JcGowOlcMhb,"Universal Music New Zealand Limited",10B,,https://i.scdn.co/image/ab67616d00004851f8553e18a11209d4becd0336
85,"Lust For Life (with The Weeknd)","Lana Del Rey,The Weeknd",75,100,"art pop, pop, canadian contemporary r&b, canadian pop","Pop, R&B","Lust For Life",2017-07-21,04:24,50,66,60,0,26,0,30,-9,C Minor,4,2022-05-11,0mt02gJ425Xjm7c3jYkOBn,"Polydor Records",5A,,https://i.scdn.co/image/ab67616d0000485195e2fd1accb339fa14878190
86,"Sky Walker (feat. Travis Scott)","Miguel,Travis Scott",75,146,"r&b, urban contemporary, hip hop, rap, slap house","Hip Hop, R&B, Electronic","War & Leisure",2017-12-01,04:19,67,51,17,0,18,0,0,-11,F#/G♭ Major,4,2022-05-11,5WoaF1B5XIEnWfmb5NZikf,"ByStorm Entertainment/RCA Records",2B,https://p.scdn.co/mp3-preview/c95b541168b5a8cb39c2d648060cee74cd68db7c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515e9dff10c31ac14c6c6c920d
